key,token
c1ccccc1,1
N,2
CO,3
C,4
C=O,5
CC=O,6
CC,7
CCC,8
c1c[nH]cn1,9
Nc1ccncn1,10
O=C[O-],11
CCC=O,12
O,13
CN,14
Oc1ccccc1,15
O[C@@H]1COC[C@@H]1O,16
O=[SH2]=O,17
CC(C)C,18
c1ccncc1,19
O=[P+](=O)([O-])O,20
CC[C@@H](C)O,21
N[SH](=O)=O,22
Cc1ccccc1,23
Clc1ccccc1,24
NC=[NH2+],25
CC(=O)[O-],26
c1cc[nH]c1,27
C1CCNC1,28
C1CCOC1,29
CC1CCCCC1,30
C1CCCCC1,31
Fc1ccccc1,32
Nc1ccccc1,33
CC(C)CC=O,34
S,35
c1ccsc1,36
C[NH3+],37
NC(N)=[NH2+],38
CCC(=O)[O-],39
CCCC,40
CCO,41
O[C@H]1[C@H](O)COC[C@@H]1O,42
NC=O,43
CNC,44
c1cncnc1,45
O=[NH+][O-],46
c1cn[nH]c1,47
CS,48
O[C@@H]1CCOC1,49
C1CC[NH2+]C1,50
CCC(N)=O,51
CCCCC=O,52
O[C@H]1CCOC1,53
C[NH2+]C,54
C[NH+](C)C,55
O=c1cc[nH]c(=O)[nH]1,56
[NH4+],57
C1CC[NH2+]CC1,58
C1CCNCC1,59
OCC(O)CO,60
FC(F)F,61
OCCO,62
[NH2+]=c1[nH]ccc(=O)[nH]1,63
CCCCC,64
OC1[C@@H](O)COC[C@@H]1O,65
NC(=O)CCC=O,66
C#N,67
NC(=O)CCCC=O,68
C1CC1,69
O[C@@H]1CCOC[C@H]1O,70
Nc1nccc(=O)[nH]1,71
C[C@H]([NH3+])C(=O)[O-],72
O=C1CCCN1,73
C1CCCC1,74
c1cscn1,75
OC1CC=CC1,76
O=[P@@]([O-])(O)O[P+](=O)(=O)[O-],77
O=[P@]([O-])(O)O[P+](=O)(=O)[O-],78
Oc1cccc(O)c1,79
C1=COCO1,80
CCCC=O,81
Brc1ccccc1,82
O=CCCCC(=O)[O-],83
Oc1ccccc1O,84
c1ccoc1,85
c1c[nH]nn1,86
CCCCC(N)=O,87
C=CC,88
C[C@@H]1C[C@H](O)[C@@H](O)CO1,89
O[C@@H]1[C@@H](O)CCO[C@@H]1O,90
C[SH](=O)=O,91
NS(=O)(=O)O,92
O=C([O-])CCCC(=O)[O-],93
Clc1cccs1,94
OC1[C@H](O)COC[C@H]1O,95
O=c1ccnc[nH]1,96
Clc1cccc(Cl)c1,97
[NH3+]CCCC[C@H]([NH3+])C=O,98
C1=CCCCC1,99
C1=NCCN1,100
O=CCCO,101
CC[NH3+],102
C[C@H]([NH3+])C=O,103
c1cnccn1,104
CC(N)=O,105
[NH3+]CCCCCC(=O)[O-],106
Nc1ccnc(N)n1,107
